almadme01,1935,1,BOS,AL,151,607,85,176,27,9,3,59,20,9,55,34,,1,13,,,151
almadme01,1936,1,BOS,AL,96,320,40,81,16,4,1,21,2,4,24,15,,0,3,,,96
almadme01,1937,1,BOS,AL,32,110,17,26,6,2,1,9,0,1,15,6,,0,2,,,32
almadme01,1937,2,WS1,AL,100,433,74,134,21,4,4,33,12,4,38,21,,0,6,,,100
almadme01,1938,1,WS1,AL,47,197,24,48,7,4,1,15,4,1,8,16,,1,5,,,47
almadme01,1938,2,SLA,AL,102,436,77,149,22,2,3,37,9,5,38,22,,3,1,,,102
almadme01,1939,1,SLA,AL,42,134,17,32,2,1,1,7,1,0,10,8,,0,2,,2,42
almadme01,1939,2,BRO,NL,39,112,11,24,4,0,0,3,2,,9,17,,0,0,,2,39
alstowa01,1936,1,SLN,NL,1,1,0,0,0,0,0,0,0,,0,1,,0,0,,0,1
altener01,1920,1,DET,AL,14,3,0,0,0,0,0,0,0,0,0,0,,0,0,,,14
altroni01,1924,1,WS1,AL,1,1,1,1,0,1,0,0,0,0,0,0,,0,0,,,1
altroni01,1929,1,WS1,AL,1,1,0,1,0,0,0,0,0,0,0,0,,0,0,,,1
altroni01,1931,1,WS1,AL,1,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,1
altroni01,1933,1,WS1,AL,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,1
amblewa01,1937,1,PHA,AL,56,162,3,35,5,0,0,11,1,0,13,8,,0,0,,,56
amblewa01,1938,1,PHA,AL,120,393,42,92,21,2,0,38,2,1,48,31,,0,11,,,120
amblewa01,1939,1,PHA,AL,95,227,15,48,13,0,0,24,1,0,22,25,,0,14,,10,95
anderbi01,1925,1,BSN,NL,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,2
anderha01,1932,1,CHA,AL,9,32,4,8,0,0,0,2,0,1,0,1,,0,1,,,9
anderre01,1937,1,WS1,AL,2,3,0,0,0,0,0,0,0,0,0,1,,0,0,,,2
andreel01,1925,1,PHA,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
andreiv01,1931,1,NYA,AL,7,11,2,2,0,0,0,2,0,0,2,2,,0,0,,,7
andreiv01,1932,1,NYA,AL,4,9,1,2,1,0,0,4,0,0,2,0,,0,1,,,4
andreiv01,1932,2,BOS,AL,27,51,5,7,1,0,0,1,0,0,0,13,,0,2,,,27
andreiv01,1933,1,BOS,AL,36,42,1,9,0,0,0,2,0,0,2,6,,0,4,,,36
andreiv01,1934,1,SLA,AL,43,40,5,14,2,0,0,7,0,0,3,7,,0,1,,,43
andreiv01,1935,1,SLA,AL,50,68,5,9,0,0,0,4,0,0,2,11,,0,4,,,50
andreiv01,1936,1,SLA,AL,36,59,4,10,3,0,0,7,0,0,5,14,,0,2,,,36
andreiv01,1937,1,CLE,AL,20,12,0,3,1,0,0,1,0,0,1,4,,0,1,,,20
andreiv01,1937,2,NYA,AL,11,15,2,1,1,0,0,0,0,0,0,4,,0,2,,,11
andreiv01,1938,1,NYA,AL,19,12,1,2,0,0,0,1,0,0,1,1,,0,0,,,19
andrena01,1937,1,SLN,NL,4,0,0,0,0,0,0,0,0,,1,0,,0,0,,0,4
andrena01,1939,1,SLN,NL,11,2,0,0,0,0,0,0,0,,0,2,,0,0,,0,11
andrest01,1939,1,BSN,NL,13,26,1,6,0,0,0,1,0,,1,2,,0,0,,1,13
andrubi01,1931,1,WS1,AL,3,7,0,0,0,0,0,1,0,0,0,1,,0,0,,,3
andrubi01,1937,1,PHI,NL,3,2,0,0,0,0,0,0,0,,0,2,,0,0,,0,3
angleto01,1929,1,CHN,NL,5,16,1,4,1,0,0,6,0,,2,2,,0,3,,,5
ankenpa01,1936,1,SLN,NL,1,3,0,0,0,0,0,0,0,,0,3,,0,1,,0,1
applepe01,1927,1,CIN,NL,6,11,1,6,0,0,0,1,0,,0,0,,0,0,,,6
applepe01,1928,1,CIN,NL,32,31,3,10,2,1,0,3,0,,0,4,,0,2,,,32
applepe01,1930,1,CLE,AL,39,40,4,8,1,0,0,2,0,0,3,9,,0,1,,,39
applepe01,1931,1,CLE,AL,30,24,1,5,0,1,0,1,0,0,1,3,,0,1,,,30
applepe01,1932,1,CLE,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
applepe01,1932,2,BOS,AL,11,17,3,3,1,0,0,1,0,0,0,5,,0,0,,,11
applepe01,1933,1,NYA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
applepe01,1936,1,WS1,AL,38,76,7,19,1,1,0,8,0,0,0,15,,0,1,,,38
applepe01,1937,1,WS1,AL,35,59,3,11,0,1,0,7,0,0,0,12,,0,1,,,35
applepe01,1938,1,WS1,AL,43,59,4,15,2,2,0,9,0,1,1,8,,0,2,,,43
applepe01,1939,1,WS1,AL,40,25,1,4,1,0,0,0,0,0,1,3,,0,3,,2,40
applilu01,1930,1,CHA,AL,6,26,2,8,2,0,0,2,2,0,0,0,,0,0,,,6
applilu01,1931,1,CHA,AL,96,297,36,69,13,4,1,28,9,2,29,27,,1,3,,,96
applilu01,1932,1,CHA,AL,139,489,66,134,20,10,3,63,9,8,40,36,,0,3,,,139
applilu01,1933,1,CHA,AL,151,612,90,197,36,10,6,85,6,11,56,29,,0,2,,,151
applilu01,1934,1,CHA,AL,118,452,75,137,28,6,2,61,3,1,59,27,,0,5,,,118
applilu01,1935,1,CHA,AL,153,525,94,161,28,6,1,71,12,6,122,40,,0,7,,,153
applilu01,1936,1,CHA,AL,138,526,111,204,31,7,6,128,10,6,85,25,,1,6,,,138
applilu01,1937,1,CHA,AL,154,574,98,182,42,8,4,77,18,10,86,28,,1,4,,,154
applilu01,1938,1,CHA,AL,81,294,41,89,14,0,0,44,1,3,42,17,,1,1,,,81
applilu01,1939,1,CHA,AL,148,516,82,162,16,6,0,56,16,9,105,37,,0,9,,11,148
archdma01,1923,1,CHA,AL,22,87,23,35,5,1,0,4,2,3,6,8,,0,1,,,22
archdma01,1924,1,CHA,AL,95,288,59,92,9,3,0,25,11,7,40,30,,4,11,,,95
archdma01,1925,1,CHA,AL,10,9,2,1,0,0,0,0,0,0,2,1,,0,1,,,10
archefr01,1936,1,PHA,AL,6,15,1,4,0,0,0,1,0,0,1,3,,0,0,,,6
archefr01,1937,1,PHA,AL,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,,,1
archige01,1938,1,DET,AL,3,2,1,0,0,0,0,0,0,0,0,1,,0,0,,,3
arletbu01,1931,1,PHI,NL,121,418,65,131,26,7,18,72,3,,45,39,,5,1,,,121
